series id,Name,Rarity,Price,Image
0,Wigglytuff,Uncommon,$0.08,https://tcgplayer-cdn.tcgplayer.com/product/253269_25w.jpg
0,Wooloo (222),Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253323_25w.jpg
0,Zarude,Uncommon,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253122_25w.jpg
0,Zoroark,Uncommon,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253385_25w.jpg
0,Accelgor,Rare,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253090_25w.jpg
0,Appletun V,Ultra Rare,$1.02,https://tcgplayer-cdn.tcgplayer.com/product/253120_25w.jpg
0,Arcanine,Rare,$0.18,https://tcgplayer-cdn.tcgplayer.com/product/253130_25w.jpg
0,Azumarill,Rare,$0.11,https://tcgplayer-cdn.tcgplayer.com/product/253190_25w.jpg
0,Barraskewda,Uncommon,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253237_25w.jpg
0,Battle VIP Pass,Uncommon,$0.29,https://tcgplayer-cdn.tcgplayer.com/product/253091_25w.jpg
0,Blissey,Rare,$0.16,https://tcgplayer-cdn.tcgplayer.com/product/253297_25w.jpg
0,Boltund V (Full Art),Ultra Rare,$3.27,https://tcgplayer-cdn.tcgplayer.com/product/253144_25w.jpg
0,Boltund VMAX (Secret),Secret Rare,$11.71,https://tcgplayer-cdn.tcgplayer.com/product/253174_25w.jpg
0,Breloom V,Ultra Rare,$0.89,https://tcgplayer-cdn.tcgplayer.com/product/253076_25w.jpg
0,Buneary,Common,$0.02,https://tcgplayer-cdn.tcgplayer.com/product/253309_25w.jpg
0,Butterfree,Holo Rare,$0.43,https://tcgplayer-cdn.tcgplayer.com/product/253073_25w.jpg
0,Caterpie,Common,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253069_25w.jpg
0,Centiskorch (48),Rare,$0.09,https://tcgplayer-cdn.tcgplayer.com/product/253179_25w.jpg
0,Chandelure V,Ultra Rare,$1.09,https://tcgplayer-cdn.tcgplayer.com/product/253142_25w.jpg
0,Chandelure VMAX,Ultra Rare,$2.44,https://tcgplayer-cdn.tcgplayer.com/product/253145_25w.jpg
0,Chansey,Common,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253296_25w.jpg
0,Chewtle,Common,$0.01,https://tcgplayer-cdn.tcgplayer.com/product/253234_25w.jpg
0,Chili & Cilan & Cress (Full Art),Ultra Rare,$3.87,https://tcgplayer-cdn.tcgplayer.com/product/253159_25w.jpg
0,Cinderace V (43),Ultra Rare,$0.85,https://tcgplayer-cdn.tcgplayer.com/product/253164_25w.jpg
0,Cinderace VMAX,Ultra Rare,$3.30,https://tcgplayer-cdn.tcgplayer.com/product/253170_25w.jpg
0,Clauncher,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253224_25w.jpg
0,Claydol,Rare,$0.09,https://tcgplayer-cdn.tcgplayer.com/product/253359_25w.jpg
0,Cloyster,Rare,$0.19,https://tcgplayer-cdn.tcgplayer.com/product/253182_25w.jpg
0,Code Card - Fusion Strike 3 Pack Blister [Eevee],Code Card,$0.45,https://tcgplayer-cdn.tcgplayer.com/product/257524_25w.jpg
0,Code Card - Fusion Strike Build & Battle Box,Code Card,$0.71,https://tcgplayer-cdn.tcgplayer.com/product/257532_25w.jpg
0,Code Card - Fusion Strike Pokemon Center Elite Trainer Box,Code Card,$0.45,https://tcgplayer-cdn.tcgplayer.com/product/256467_25w.jpg
0,Code Card - Hoopa V Box,Code Card,$0.32,https://tcgplayer-cdn.tcgplayer.com/product/256468_25w.jpg
0,Code Card - Single Strike Urshifu VMAX Premium Collection,Code Card,$0.70,https://tcgplayer-cdn.tcgplayer.com/product/253457_25w.jpg
0,Copperajah,Uncommon,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253347_25w.jpg
0,Corvisquire,Uncommon,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253320_25w.jpg
0,Crabominable V (Full Art),Ultra Rare,$2.74,https://tcgplayer-cdn.tcgplayer.com/product/253143_25w.jpg
0,Croagunk,Common,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253379_25w.jpg
0,Cross Switcher,Uncommon,$0.12,https://tcgplayer-cdn.tcgplayer.com/product/253101_25w.jpg
0,Cufant,Common,$0.02,https://tcgplayer-cdn.tcgplayer.com/product/253345_25w.jpg
0,Dancer (Full Art),Ultra Rare,$3.68,https://tcgplayer-cdn.tcgplayer.com/product/253160_25w.jpg
0,Darkrai,Uncommon,$0.08,https://tcgplayer-cdn.tcgplayer.com/product/253381_25w.jpg
